sample_1	sample_2	ANI	MASH	dDDH	population
SRR2584408	SRR2584409	98.5197	0.0186195	0.9963278495887191	Ara+1
SRR2584408	SRR2584410	99.812	0.0665597	0.9986062717770035	Ara+1
SRR2584408	SRR2584411	97.1786	0.0277775	0.9952787769784173	Ara+1
SRR2584408	SRR2584438	99.6062	0.0200822	0.9949689753479792	Ara+1
SRR2584408	SRR2584462	98.8411	0.0181917	0.9948337100419761	Ara+1
SRR2584408	SRR2584463	97.7725	0.017359	0.9973110247983269	Ara+1
SRR2584408	SRR2584464	96.7022	0.020747	0.9959045332580144	Ara+1
SRR2584408	SRR2584466	99.6047	0.0196275	0.9952534327852178	Ara+1
SRR2584408	SRR2584467	96.8642	0.0136496	0.9963010204081633	Ara+1
SRR2584408	SRR2584470	95.765	0.0161084	0.9957849022863712	Ara+1
SRR2584408	SRR2584490	99.5018	0.0194991	0.9965314834578441	Ara+1
SRR2584408	SRR2584518	99.5946	0.0174761	0.9963947122446255	Ara+1
SRR2584408	SRR2584508	99.2059	0.0219913	0.9956840177870782	Ara+1
SRR2584408	SRR2584519	97.1347	0.0240597	0.997338189969179	Ara+1
SRR2584408	SRR2584520	98.2962	0.0149759	0.99656111190715	Ara+1
SRR2584408	SRR2584521	99.6195	0.0184352	0.9958966565349544	Ara+1
SRR2584408	SRR2584522	98.4687	0.0162749	0.9963343108504399	Ara+1
SRR2584408	SRR2086043	98.6649	0.0158882	0.9959010600706714	Ara+1
SRR2584408	SRR2086070	99.6598	0.0330427	0.995851237220329	Ara+1
SRR2584408	SRR2584524	99.4835	0.182269	0.9950721980288793	Ara+1
SRR2584408	SRR2584534	99.7074	1	0.9923773584905661	Ara+1
SRR2584408	SRR22764941	98.5078	0.197292	0.9726685894794671	Ara+1
SRR2584409	SRR2584410	99.049	0.0639874	0.998814463544754	Ara+1
SRR2584409	SRR2584411	98.5078	0.0281347	0.9971562055657119	Ara+1
SRR2584409	SRR2584438	98.7941	0.0208145	0.9958643507030603	Ara+1
SRR2584409	SRR2584462	97.5155	0.0187432	0.9932686286787727	Ara+1
SRR2584409	SRR2584463	99.3063	0.0157245	0.9965273140109523	Ara+1
SRR2584409	SRR2584464	99.5026	0.0200822	0.9974170744970092	Ara+1
SRR2584409	SRR2584466	97.0896	0.0172424	0.9986164488854727	Ara+1
SRR2584409	SRR2584467	98.8104	0.0144562	0.9973503552932675	Ara+1
SRR2584409	SRR2584470	99.58	0.0146108	0.9964480227326545	Ara+1
SRR2584409	SRR2584490	99.3093	0.0209501	0.9974398361495136	Ara+1
SRR2584409	SRR2584518	99.5607	0.0168963	0.9967025998731769	Ara+1
SRR2584409	SRR2584508	99.627	0.0220623	0.9965333663488919	Ara+1
SRR2584409	SRR2584519	99.0274	0.023602	0.997163852004641	Ara+1
SRR2584409	SRR2584520	99.1771	0.0143537	0.9970266252196243	Ara+1
SRR2584409	SRR2584521	99.2343	0.0165552	0.9967357365881351	Ara+1
SRR2584409	SRR2584522	99.0862	0.0166683	0.9968625213918996	Ara+1
SRR2584409	SRR2086043	99.5026	0.0139988	0.9986721550922852	Ara+1
SRR2584409	SRR2086070	99.6547	0.0304804	0.9971444112047865	Ara+1
SRR2584409	SRR2584524	99.6329	0.167688	0.9944175268590689	Ara+1
SRR2584409	SRR2584534	99.6062	1	0.9893529330952053	Ara+1
SRR2584409	SRR22764941	99.7623	0.191731	0.9743187330574975	Ara+1
SRR2584410	SRR2584411	99.7873	0.0415686	0.9988857938718663	Ara+1
